symptom_text,disease
brittle bones break easily and it's getting worse,Osteoporosis
bad reaction to food medication insect for a while now,Anaphylaxis
I have Having loose stools and temperature,Gastroenteritis
sharp pain when urinating blood in pee for the past few days,Kidney Stones
shortness of breath rapid breathing,Sepsis
joint pain worse end of day,Osteoarthritis
recurring chest pain with activity,Angina
Feeling Suffering from joint pain and headache,Dengue
Recently developed irritable bowel abdominal pain,Irritable Bowel Syndrome
Recently developed Recently developed pale skin,Anemia
celiac symptoms diarrhea bloating,Celiac Disease
swollen tongue and lips trouble breathing,Anaphylaxis
irregular heartbeat and it's getting worse,Hypertension
Having issues with I have chest discomfort and hacking cough,Bronchitis
spastic colon abdominal cramping,Irritable Bowel Syndrome
cramping relieved by bowel movement,Irritable Bowel Syndrome
I have cold sensitivity,Hypothyroidism
congestion with mild headache,Common Cold
increased appetite with fatigue,Diabetes
wheezing after exertion for a while now,Asthma
stomach cramps and feverish for the past few days,Gastroenteritis
anaphylactic shock sudden severe reaction since yesterday,Anaphylaxis
Been dealing with weight gain with tiredness since yesterday,Hypothyroidism
joint pain with high temperature,Dengue
Experiencing coughing up phlegm,Bronchitis
Feeling headache and weakness,Typhoid
I've been having fingers enlarged difficult to bend that started today,Rheumatoid Arthritis
gastroesophageal reflux burning chest since yesterday,GERD
Recently developed hip pain stiffness after rest,Osteoarthritis
prolonged high temperature,Typhoid
problems breathing since yesterday,COVID-19
Having issues with sudden acute pain in big toe,Gout
I've been having excessive urination at night,Diabetes
I've been having frequent hunger with weight loss,Diabetes
widespread musculoskeletal pain chronic,Fibromyalgia
I have chest discomfort and cough,Bronchitis
Feeling headache and weak that won't go away since this morning,Typhoid
osteoarthritis symptoms joint pain stiffness,Osteoarthritis
Started experiencing Suffering from increased thirst and hunger,Diabetes
Been dealing with Suffering from itchy rash with blisters,Chickenpox
sudden severe pain in big toe and it's getting worse that began suddenly,Gout
body pain and chills,Influenza
I have extreme fatigue not relieved by rest since this morning,Chronic Fatigue Syndrome
Suffering from autoimmune arthritis multiple joints,Rheumatoid Arthritis
Started experiencing swollen tongue and lips trouble breathing,Anaphylaxis
I'm experiencing duodenal ulcer ache before meals,Peptic Ulcer
I have low bone density fracture risk for over a week,Osteoporosis
I have sneezing and watery eyes,Common Cold
low blood pressure with rapid pulse,Sepsis
fever with body ache,COVID-19
I've been having burning sensation in stomach,Peptic Ulcer
I have joint flexibility loss limited motion,Osteoarthritis
Recently developed puffy lymph nodes neck throat hurt,Tonsillitis
Suffering from confusion can't understand what people say,Stroke
abdominal bloating with gluten,Celiac Disease
I have fever with abdominal pain,Typhoid
Started experiencing stomach ulcer pain after eating,Peptic Ulcer
blurred vision and thirst,Diabetes
I'm experiencing nasal congestion stuffy nose,Sinusitis
Having issues with pain on one side of head,Migraine
stomach cramps with nausea since yesterday,Gastroenteritis
chronic abdominal pain bowel issues,Irritable Bowel Syndrome
severe right abdominal pain with vomiting,Appendicitis
Started experiencing I have shortness of breath recently,Anemia
weight gain with tiredness since yesterday,Hypothyroidism
Been dealing with body ache with high temperature for past few days,Influenza
Started experiencing tonsillitis red swollen tonsils,Tonsillitis
food allergy symptoms stomach upset rash,Allergic Reaction
gout attack intense joint painful for the past few days,Gout
acute gout flare big toe,Gout
Having issues with arm weak unable to raise both arms,Stroke
appendicitis symptoms pain nausea fever,Appendicitis
Feeling cough with colored mucus,Bronchitis
stomach hurt worse when hungry for a while now,Peptic Ulcer
Recently developed extreme exhaustion difficulty concentrating,Chronic Fatigue Syndrome
Having issues with headache with light sensitivity,Migraine
Suffering from Recently developed chills with muscle discomfort,Influenza
reduced sense of smell congestion,Sinusitis
I'm experiencing gout attack intense joint painful for several days,Gout
blisters all over body for a while now,Chickenpox
I'm experiencing fever chills and nausea,Malaria
constant thirst since yesterday,Diabetes
fibromyalgia symptoms pain fatigue,Fibromyalgia
I've been having breathing difficulty with cough,Pneumonia
pain subsides within 5 minutes of rest,Angina
Having issues with recurring chest pain with activity,Angina
sudden numbness on one side of body,Stroke
kidney pain radiating to lower abdomen and groin,Kidney Stones
headache with sensitivity to light for past few days for the past few days,Migraine
joint painful stiffness morning lasting hours since yesterday,Rheumatoid Arthritis
Recently developed cognitive difficulties fibro fog,Fibromyalgia
pain in chest arms neck jaw back for the past few days,Angina
Feeling high fever with eye soreness,Dengue
Started experiencing frequent bowel movements after eating gluten since yesterday,Celiac Disease
fever with abdominal pain for past few days for the past few days,Typhoid
"can't eat, stomach hurts badly on right side for the past few days",Appendicitis
Started experiencing body soreness and chills,Influenza
dizzy and pain in head for past few days since yesterday,Hypertension
Having issues with Having articulation pain and stiffness,Arthritis
increased thirst and hunger for the past few days,Diabetes
rapid pulse with nervousness,Hyperthyroidism
memory problems with extreme tiredness,Chronic Fatigue Syndrome
mottled skin poor circulation fever,Sepsis
pain in head with visual disturbances for the past few days,Migraine
Recently developed right side stomach pain with constipation,Appendicitis
Suffering from can't move right side of body suddenly,Stroke
acid reflux burning in chest,GERD
Suffering from severe pain in head and fever,Influenza
nasal congestion stuffy nose,Sinusitis
Been dealing with severe sore throat can't swallowing,Tonsillitis
Started experiencing GERD acid reflux heartburn symptoms,GERD
Experiencing persistent cough with mucus,Bronchitis
increased heart rate since yesterday,Hyperthyroidism
Having issues with bilateral joint pain hands wrists,Rheumatoid Arthritis
excessive thirst and urination that won't go away for several days,Diabetes
stomach cramps with gas bloating,Irritable Bowel Syndrome
debilitating fatigue brain fog,Chronic Fatigue Syndrome
low bone density fracture risk,Osteoporosis
Recently developed fever with dry cough,COVID-19
I'm experiencing joint discomfort and reduced mobility,Arthritis
Having issues with celiac disease gluten intolerance,Celiac Disease
dry cough with fever,COVID-19
I've been having weight loss and fatigue,Tuberculosis
Recently developed gout symptoms toe pain swelling,Gout
pressing on right abdomen causes severe pain,Appendicitis
pounding in chest for the past few days,Hypertension
chronic back discomfort weak bones that won't go away,Osteoporosis
cloudy urine with bad smell and pain,Kidney Stones
intense cramping in back and side,Kidney Stones
Having issues with measles rash with dry cough,Measles
Recently developed I have severe pain in head,Hypertension
waves of pain in back moving to groin,Kidney Stones
Started experiencing abdominal pain with frequent bowel movements for a while,Gastroenteritis
headache nausea vomit confused since yesterday,Meningitis
Feeling sudden chest painful sweating feeling doom for the past few days,Heart Attack
frequent sneezing with dry cough for a while now,Common Cold
cloudy urine for the past few days,Urinary Tract Infection
joint deformity with chronic pain,Rheumatoid Arthritis
swollen tonsils with white patches that won't go away,Tonsillitis
weakness and dizziness,Anemia
fever with bleeding gums,Dengue
high fever with body ache,Influenza
Recently developed fatigue and weight gain,Hypothyroidism
sharp fatigue and fever and it's getting worse,Influenza
Feeling pain started around belly button moved to right for the last couple of days,Appendicitis
tiredness and shortness of breath,Anemia
Having issues with body ache with high temperature,Influenza
chest pain radiating down left arm,Heart Attack
irregular heartbeat,Hypertension
I have wheezing and dry cough for past few days,Asthma
I've been having sharp pain below right ribcage,Gallstones
sinus infection facial pain congestion since yesterday,Sinusitis
stiff joints after rest,Arthritis
Having issues with chronic fatigue unable to function,Chronic Fatigue Syndrome
bladder discomfort,Urinary Tract Infection
shortness of breath with or without chest pain,Heart Attack
Been dealing with bad head hurts with vomiting that began suddenly,Migraine
I'm experiencing pressure or squeezing in chest during activity,Angina
headache with nausea,Migraine
Experiencing prolonged fever,Typhoid
Feeling unexplained weight gain,Hypothyroidism
Suffering from pharynx hurt and runny nose,Common Cold
I'm experiencing hard to breathe since yesterday,Hypertension
big toe swollen can't wear shoes,Gout
feeling like elephant sitting on chest for the past few days,Heart Attack
GERD symptoms heartburn acid reflux,GERD
heat intolerance,Hyperthyroidism
Recently developed pulsating headache and it's getting worse,Migraine
I've been having fever with runny nose and rash,Measles
IBS flare cramping bloating since yesterday,Irritable Bowel Syndrome
I've been having Experiencing fever with body ache for the past few days,Malaria
excessive urination at night since yesterday,Diabetes
celiac disease diarrhea weight loss,Celiac Disease
I'm experiencing heartburn worse at night lying,GERD
pain in forehead cheeks nose and it's getting worse,Sinusitis
Started experiencing tonsillitis fever sore neck swelling that started today,Tonsillitis
Feeling jaundice with abdominal pain yellowing skin,Gallstones
Been dealing with heart attack symptoms chest pain arm pain for the last couple of days,Heart Attack
peptic ulcer pain upper belly,Peptic Ulcer
Suffering from burning sensation behind breastbone,GERD
Recently developed muscular discomfort with fever,Influenza
Been dealing with stomach pain worse when hungry,Peptic Ulcer
Started experiencing fever and red skin rash,Measles
Feeling temperature with throwing up,Malaria
Suffering from chronic pain syndrome widespread,Fibromyalgia
loose stools alternating with constipation for the past few days,Irritable Bowel Syndrome
chest tightness with cough,Bronchitis
renal colic severe back pain,Kidney Stones
gallstone attack severe right upper belly pain,Gallstones
peptic ulcer symptoms stomach pain burning,Peptic Ulcer
Feeling red skin rash spreading,Measles
Started experiencing sinus pressure headache congestion,Sinusitis
I'm experiencing chronic loose stools malabsorption,Celiac Disease
fever and chesty cough,Pneumonia
pain after eating fried or greasy food,Gallstones
Been dealing with seizures with high fever and pain in head,Meningitis
fever with vomiting,Malaria
swollen tender warm joints both hands for the past few days,Rheumatoid Arthritis
I'm experiencing Recently developed pain on one side of head,Migraine
appendix pain with fever and loss of appetite,Appendicitis
altered mental state with infection,Sepsis
I have vomiting with gut discomfort,Gastroenteritis
I've been having upper body pain relieved by rest for the past few days,Angina
Having issues with severe head ache since yesterday,Hypertension
Recently developed clammy or sweaty skin with chills,Sepsis
vomiting and abdominal pain,Gastroenteritis
Started experiencing articulation inflammation very tender,Gout
I'm experiencing body pain and chills,Influenza
shortness of breath,COVID-19
Having issues with age-related arthritis joint discomfort,Osteoarthritis
face drooping on one side can't smile,Stroke
pressure or squeezing in chest during activity,Angina
I have fever with cough and skin irritation for a while,Measles
chest pain relieved by rest,Angina
fever with cough and rash,Measles
Feeling throbbing painful with nausea,Migraine
Recently developed bone on bone grinding sensation,Osteoarthritis
I have persistent cough since yesterday,Asthma
GERD acid reflux heartburn symptoms that won't go away since yesterday,GERD
confusion drowsiness with intense headache and it's getting worse,Meningitis
I have chest pain after lying down,GERD
Having issues with shortness of breath for past few days,Hypertension
I have renal colic severe back pain for a while,Kidney Stones
bone lack of strength fractures with minimal trauma since yesterday,Osteoporosis
watery diarrhea,Gastroenteritis
chronic fatigue unable to function that won't go away,Chronic Fatigue Syndrome
Feeling swelling of lips face throat,Allergic Reaction
heartburn after eating meals for a while now,GERD
nervousness and anxiety,Hyperthyroidism
headache nausea vomiting confused,Meningitis
Suffering from itchy rash with blisters,Chickenpox
itchy red rash,Chickenpox
I've been having articulation painful worse with activity for several days,Osteoarthritis
Having issues with headache and fatigue,Typhoid
I have spots behind ears since yesterday,Measles
Started experiencing upper abdomen burning pain,Peptic Ulcer
increased thirst and hunger,Diabetes
excessive urination at night since yesterday for the past few days,Diabetes
I've been having pain after eating fried or greasy food for over a week,Gallstones
I'm experiencing functional bowel disorder cramping,Irritable Bowel Syndrome
Recently developed high fever with chills,Malaria
red spots turning to blisters since yesterday for a while now,Chickenpox
I've been having shortness of breath and dry cough,Bronchitis
chronic widespread musculoskeletal hurt since yesterday,Fibromyalgia
Feeling Feeling nervousness and anxiety,Hyperthyroidism
Been dealing with Having itchy bumps on skin for over a week,Chickenpox
Feeling rapid heartbeat for the past few days,Hyperthyroidism
Having issues with rash that doesn't fade when pressed,Meningitis
I have Feeling severe body ache and burning up,Dengue
fever and red skin skin rash that won't go away,Measles
I have post-exertional malaise severe fatigue,Chronic Fatigue Syndrome
I have high fever with rapid heart rate for over a week,Sepsis
drooping face weak arm slurred speech for the past few days,Stroke
burning while urinating since yesterday,Urinary Tract Infection
uric acid buildup joint pain that won't go away for the last couple of days,Gout
belly cramps with feeling sick for the past few days,Gastroenteritis
chest pain and fever,Pneumonia
Been dealing with I have high temperature lasting days,Typhoid
I'm experiencing chronic sinusitis facial soreness,Sinusitis
Started experiencing sharp pain below right ribcage for a while,Gallstones
feeling cold and tired,Hypothyroidism
spinal compression fractures pain,Osteoporosis
sneezing and watery eyes that won't go away recently,Common Cold
swollen tonsils with white patches,Tonsillitis
I have constant thirst,Diabetes
Recently developed pelvic pain since yesterday,Urinary Tract Infection
sharp pain below ribcage that won't go away,Kidney Stones
Having issues with biliary colic painful upper right abdomen,Gallstones
sudden severe pain in big toe,Gout
burning sensation in stomach,Peptic Ulcer
Having issues with Experiencing prolonged fever,Typhoid
sharp pain in lower right abdomen,Appendicitis
Started experiencing unexplained weight gain,Hypothyroidism
Feeling articulation stiffness in morning since yesterday,Arthritis
chest discomfort when breathe for past few days that won't go away,Pneumonia
Started experiencing I have chest discomfort and cough,Bronchitis
heart attack symptoms chest pain arm pain,Heart Attack
high fever with joint pain,Dengue
Been dealing with headache with sensitivity to light,Migraine
I've been having worst head ache of my life sudden onset recently,Stroke
chest pain with cough,Tuberculosis
Feeling shivering extreme cold with fever,Sepsis
fatigue with pale skin,Anemia
speech difficulty slurred words confused,Stroke
Been dealing with temperature with skin rash,Chickenpox
Feeling dry cough with phlegm since yesterday,Pneumonia
itchy rash hives after exposure,Allergic Reaction
duodenal ulcer painful before meals that won't go away,Peptic Ulcer
blood in urine with sharp back pain,Kidney Stones
Feeling cough with phlegm,Pneumonia
enlarged tonsils with pus since yesterday,Tonsillitis
fever and fatigue,Typhoid
Experiencing loss of taste and smell,COVID-19
sinus infection facial pain congestion,Sinusitis
fever with chest ache and it's getting worse since yesterday,Pneumonia
Experiencing rash with fever,Chickenpox
rash with fever,Chickenpox
Recently developed tiredness with increased thirst,Diabetes
Having joint pain and stiffness,Arthritis
upper abdomen burning pain,Peptic Ulcer
Having issues with joints deformity with chronic pain,Rheumatoid Arthritis
Recently developed chills with muscle pain,Influenza
sinus infection facial pain congestion and it's getting worse,Sinusitis
Started experiencing chest pain with cough,Tuberculosis
upper body pain chest arms back neck jaw,Heart Attack
feeling sick with severe hurt in kidney area since yesterday,Kidney Stones
Having itchy bumps on skin,Chickenpox
tonsillitis fever sore throat swelling,Tonsillitis
Recently developed red rash spreading since yesterday,Measles
brittle bones break easily for a while now,Osteoporosis
chronic watery stools malabsorption for a while now,Celiac Disease
Having issues with headache with light sensitivity,Migraine
exhaustion worsens with activity since yesterday,Chronic Fatigue Syndrome
I have itchy skin rash spreading rapidly all over,Anaphylaxis
anaphylaxis symptoms throat swelling breathing trouble,Anaphylaxis
Experiencing prolonged fever and it's getting worse,Typhoid
Started experiencing knee pain when walking stairs,Osteoarthritis
I'm experiencing sharp painful in lower right abdomen,Appendicitis
photophobia severe headache neck stiffness,Meningitis
face drooping on one side can't smile for the past few days,Stroke
skin eruptions with itching for the past few days,Chickenpox
persistent cough lasting weeks since yesterday,Tuberculosis
cough lasting more than 3 weeks,Tuberculosis
indigestion with stomach pain since yesterday,Peptic Ulcer
Been dealing with bone fracture easier than expected,Osteoporosis
back pain from fractured vertebrae that won't go away,Osteoporosis
decreased urine output with infection for a while now,Sepsis
Been dealing with swelling in hands and feet for over a week,Arthritis
abdominal pain diarrhea or constipation,Irritable Bowel Syndrome
mucus in stool with cramping,Irritable Bowel Syndrome
weight loss and sweating,Hyperthyroidism
fever and muscle pain,Dengue
Suffering from stooped posture bent forward,Osteoporosis
heartburn worse at night lying,GERD
mucus in stool with cramping for the past few days,Irritable Bowel Syndrome
nausea with severe pain in kidney area,Kidney Stones
frequent urination with pain,Urinary Tract Infection
Recently developed persistent productive cough,Bronchitis
wheezing difficulty breathing tight chest,Anaphylaxis
I have spots behind ears,Measles
I have cold intolerance with fatigue,Hypothyroidism
Started experiencing Suffering from chest pain with pain in head recently,Hypertension
dizziness and fatigue for the past few days,Anemia
Been dealing with nausea and stomach upset for over a week,Gastroenteritis
Been dealing with itchy bumps on skin,Chickenpox
Having issues with pain so bad can't touch joint for a while,Gout
Recently developed fatigue and weakness,Anemia
I've been having diarrhea after eating gluten,Celiac Disease
pale skin for the past few days,Anemia
I have chronic digestive issues gluten for a while,Celiac Disease
I have sudden severe hurt below breastbone since yesterday,Gallstones
I've been having gallbladder ache after eating fatty foods,Gallstones
swelling in hands and feet,Arthritis
I've been having upper body tightness during exercise,Angina
Having sneezing and watery eyes for the past few days,Common Cold
RA symptoms joint pain swelling stiffness,Rheumatoid Arthritis
diarrhea and vomiting since yesterday,Gastroenteritis
Suffering from high temperature and sweating episodes for over a week,Malaria
Been dealing with intense pain in back and side below ribs,Kidney Stones
I have dry coughing with burning up,COVID-19
Recently developed debilitating fatigue brain fog,Chronic Fatigue Syndrome
difficulty breathe that won't go away,Asthma
enlarged tonsils with white patches since yesterday,Tonsillitis
abdominal pain with diarrhea,Gastroenteritis
bone on bone grinding sensation since yesterday,Osteoarthritis
shortness of breath at night,Asthma
stomach cramps with gas bloating since yesterday,Irritable Bowel Syndrome
I've been having breathing difficulty and fever,COVID-19
nausea and puking with right side pain that won't go away,Gallstones
Suffering from vision problems in one or both eyes,Stroke
Been dealing with high fever with joint discomfort,Dengue
Suffering from itchy rash with blisters,Chickenpox
extreme fatigue not relieved by rest and it's getting worse,Chronic Fatigue Syndrome
excessive thirst and urination,Diabetes
left side numbness facial droop,Stroke
Having issues with sharp right abdominal painful with vomiting,Appendicitis
unbearable painful in toe joint and it's getting worse,Gout
severe throbbing headache,Migraine
Feeling rapid pulse with nervousness,Hyperthyroidism
Suffering from painful urination,Urinary Tract Infection
vertebral compression fracture pain since yesterday,Osteoporosis
Recently developed periodic fever attacks,Malaria
cloudy urine with bad smell and pain since yesterday,Kidney Stones
back pain from fractured vertebrae,Osteoporosis
Recently developed high temperature with persistent cough and rash for a while now,Measles
face arm speech symptoms sudden onset for the past few days,Stroke
frequent urge to urinate and it's getting worse,Urinary Tract Infection
Recently developed sharp exhaustion difficulty concentrating,Chronic Fatigue Syndrome
severe headache with stiff neck,Meningitis
Suffering from throat infection swollen tonsils,Tonsillitis
Feeling uric acid buildup joint pain,Gout
crushing chest pain pressure discomfort,Heart Attack
Feeling wheezing with cough,Bronchitis
diarrhea and vomiting,Gastroenteritis
knee pain when walking stairs,Osteoarthritis
I'm experiencing fever with loss of appetite,Typhoid
Been dealing with Feeling severe body ache and burning up,Dengue
red bumps turning to blisters,Chickenpox
chills with pain in head for a while now,Malaria
burning sensation behind breastbone for the past few days,GERD
Suffering from fatigue and weakness,Anemia
Feeling high fever with persistent cough for the past few days,Pneumonia
Recently developed swollen tongue and lips trouble respiration,Anaphylaxis
chest pain lasting more than few minutes,Heart Attack
Recently developed productive persistent cough with temperature,Pneumonia
hives all over body itching swelling and it's getting worse recently,Anaphylaxis
RA symptoms articulation ache swelling stiffness for the past few days,Rheumatoid Arthritis
stomach pain wakes me at night,Peptic Ulcer
Feeling high fever with cough for a while now,Pneumonia
I have high fever lasting days,Typhoid
neck rigidity cannot bend neck forward,Meningitis
joint inflammation very tender,Gout
widespread discomfort all over body for a while now,Fibromyalgia
I've been having persistent cough with colored mucus,Bronchitis
Been dealing with bladder discomfort,Urinary Tract Infection
chest discomfort improves with nitroglycerin and it's getting worse,Angina
I've been having vision problems in one or both eyes,Stroke
Been dealing with ache subsides within 5 minutes of rest,Angina
Having issues with Suffering from increased thirst and hunger for a while,Diabetes
lightheaded dizzy with chest discomfort,Heart Attack
Experiencing frequent urination,Diabetes
I have pelvic pain that began suddenly,Urinary Tract Infection
I'm experiencing joint pain with movement for several days,Arthritis
Been dealing with persistent cough with nasal discharge recently,Common Cold
confusion drowsiness with acute headache since yesterday,Meningitis
I'm experiencing trouble swallowing tonsils swollen,Tonsillitis
Suffering from sinusitis symptoms congestion pressure,Sinusitis
Experiencing fever and extreme fatigue,Influenza
Recently developed discomfort in multiple joints,Arthritis
sudden severe headache like never before,Stroke
trouble walking dizziness loss of balance,Stroke
fever with body ache and it's getting worse,COVID-19
I have watery diarrhea,Gastroenteritis
I'm experiencing productive cough,Bronchitis
Feeling tight band around chest when walking,Angina
fever with runny nose and rash,Measles
I have spastic colon abdominal cramping,Irritable Bowel Syndrome
Been dealing with can't get comfortable discomfort in kidney region,Kidney Stones
chest pain or discomfort with exertion,Angina
sudden pain near navel that moves to lower right since yesterday,Appendicitis
anaphylactic shock sudden severe reaction,Anaphylaxis
I'm experiencing feverish with bleeding gums,Dengue
burning while urinating since yesterday that won't go away,Urinary Tract Infection
headache with sick for past few days for the past few days,Migraine
stomach pain worse when hungry,Peptic Ulcer
extreme ache or discomfort for a while now,Sepsis
rapid pulse with dizziness after eating that won't go away,Anaphylaxis
I've been having loose stools and fever,Gastroenteritis
Recently developed feeling like elephant sitting on thorax,Heart Attack
fatigue and weight gain,Hypothyroidism
shortness of breath rapid breathing and it's getting worse for over a week,Sepsis
Been dealing with joint pain and stiffness that started today,Arthritis
Started experiencing articulation flexibility loss limited motion,Osteoarthritis
Recently developed high hot lasting days,Typhoid
Recently developed upper body pain chest arms back neck jaw,Heart Attack
coughing up phlegm for the past few days,Bronchitis
bone fracture easier than expected,Osteoporosis
Feeling joint pain swelling redness warmth that started today,Gout
weakness and pallor,Anemia
sudden drop in blood pressure dizziness,Anaphylaxis
memory problems with extreme tiredness and it's getting worse,Chronic Fatigue Syndrome
Experiencing fever with constipation since yesterday,Typhoid
vomiting with stomach pain,Gastroenteritis
I have itchy rash with blisters recently,Chickenpox
Having issues with reduced sense of smell congestion,Sinusitis
excruciating flank pain that comes in waves and it's getting worse,Kidney Stones
I'm experiencing height loss stooped posture,Osteoporosis
Suffering from severe allergic reaction neck swelling that started today,Anaphylaxis
abdominal pain diarrhea or constipation since yesterday,Irritable Bowel Syndrome
I have runny nose and sneezing,Common Cold
high temperature chills and weakness for a while now,Influenza
vision problems,Hypertension
I've been having skin rash with fever since yesterday,Measles
slow healing wounds,Diabetes
Having issues with strong urge to urinate for a while,Urinary Tract Infection
Been dealing with body aches pain exhaustion,Fibromyalgia
I've been having crushing breastbone area pain pressure discomfort,Heart Attack
sharp pain when urinating blood in pee,Kidney Stones
biliary colic pain upper right abdomen,Gallstones
burning sensation during urination,Urinary Tract Infection
Been dealing with itchy bumps on skin since yesterday,Chickenpox
Having issues with dizziness and fatigue,Anemia
I have pressure in thorax when climbing stairs,Angina
wheezing with chest pain,Asthma
I'm experiencing chronic fatigue syndrome tired all time,Chronic Fatigue Syndrome
sour taste in mouth regurgitation,GERD
cold intolerance with fatigue for the past few days,Hypothyroidism
painful swallowing with fever,Tonsillitis
Been dealing with intense soreness in upper belly center,Gallstones
shivering extreme cold with fever,Sepsis
I'm experiencing chest discomfort and fatigue,Tuberculosis
Started experiencing sudden severe pain below breastbone that started today,Gallstones
Been dealing with cramping relieved by bowel movement,Irritable Bowel Syndrome
excessive urination at night,Diabetes
Suffering from skin irritation with burning up that won't go away for several days,Measles
I have fever and chesty dry cough for the past few days,Pneumonia
loss of height over time,Osteoporosis
sneezing runny nose watery eyes that won't go away,Allergic Reaction
Recently developed extreme hurt or discomfort,Sepsis
CFS symptoms severe fatigue weakness,Chronic Fatigue Syndrome
stroke symptoms face drooping arm fatigue and it's getting worse for several days,Stroke
Suffering from sleep problems with body pain for a while,Fibromyalgia
stable angina pain predictable pattern for the past few days,Angina
myalgic encephalomyelitis chronic fatigue,Chronic Fatigue Syndrome
nausea with chest pressure and anxiety,Heart Attack
I have morning stiffness lasting over 30 minutes,Rheumatoid Arthritis
fingers swollen difficult to bend for the past few days,Rheumatoid Arthritis
I have itching without rash after contact,Allergic Reaction
sluggishness and weight gain,Hypothyroidism
skin bumps red itchy bumps for the past few days,Allergic Reaction
Started experiencing joint pain improves with rest,Osteoarthritis
I've been having shivering and high burning up that started today,Malaria
coughing up phlegm,Bronchitis
IBS symptoms pain bloating diarrhea,Irritable Bowel Syndrome
pain in jaw neck or back with chest discomfort that won't go away,Heart Attack
severe reaction to food medication insect,Anaphylaxis
chest discomfort since yesterday,Hypertension
Been dealing with blood in urine with sharp back pain,Kidney Stones
postnasal drip with facial pressure,Sinusitis
rapid pulse with dizziness after eating,Anaphylaxis
severe allergic reaction throat swelling,Anaphylaxis
lower abdominal painful since yesterday,Urinary Tract Infection
fever with digestive issues,Typhoid
Having issues with fibromyalgia soreness fatigue memory problems,Fibromyalgia
high fever with sensitivity to light for a while now,Meningitis
I'm experiencing vomiting and abdominal pain,Gastroenteritis
photophobia sharp headache neck stiffness and it's getting worse,Meningitis
Having issues with throat closing up can't swallow,Anaphylaxis
shortness of breath for past few days for the past few days,Hypertension
throat pain fever swollen glands,Tonsillitis
I have high high temperature with head pain,Influenza
rash that doesn't fade when pressed,Meningitis
feeling like might die sense of doom for the past few days,Sepsis
recurring breastbone area discomfort with activity and it's getting worse,Angina
swollen joints,Arthritis
Having issues with Suffering from joint pain and head pain,Dengue
I'm experiencing cramping relieved by bowel movement,Irritable Bowel Syndrome
Having issues with mild fever with runny nose,Common Cold
Been dealing with sharp stabbing hurt right lower belly,Appendicitis
Recently developed itchy rash hives after exposure,Allergic Reaction
Been dealing with stomach pain improves with antacids,Peptic Ulcer
gluten triggers digestive symptoms,Celiac Disease
body pain with fever,Dengue
muscle weak and fatigue that won't go away for several days,Hypothyroidism
Having issues with nasal discharge with facial pain for the last couple of days,Sinusitis
clammy or sweaty skin with chills,Sepsis
I've been having breathing difficulty with exercise,Asthma
CFS symptoms bad fatigue weakness since yesterday,Chronic Fatigue Syndrome
Having nausea and stomach upset for a while now,Gastroenteritis
functional bowel disorder cramping for the past few days,Irritable Bowel Syndrome
breathlessness with cough for a while now,Asthma
sudden drop in blood pressure dizziness for a while now,Anaphylaxis
morning stiffness in joints,Arthritis
joint pain with movement,Arthritis
nausea with sharp painful in kidney area and it's getting worse since this morning,Kidney Stones
Suffering from red bumps turning to blisters,Chickenpox
chest ache when breathing for past few days and it's getting worse,Pneumonia
joint stiffness in morning brief since yesterday,Osteoarthritis
shortness of breath with or without chest pain for a while now,Heart Attack
Having issues with headache from sinus pressure,Sinusitis
RA symptoms joint ache swelling stiffness that won't go away recently,Rheumatoid Arthritis
chronic cough from acid reflux,GERD
chronic exhaustion lasting months,Chronic Fatigue Syndrome
I'm experiencing sore throat with cough since this morning,Common Cold
difficulty breathing,Hypertension
Been dealing with vomiting and abdominal pain,Gastroenteritis
sore throat fever bad breath,Tonsillitis
Having dry skin and hair loss,Hypothyroidism
upper abdomen pain that lasts for hours,Gallstones
joint painful improves with rest for a while now,Osteoarthritis
chest ache and fever for the past few days,Pneumonia
Recently developed weight loss and sweating,Hyperthyroidism
bulging fontanelle in infant with fever,Meningitis
I have hives breaking out after eating,Allergic Reaction
I've been having frequent sneezing with cough,Common Cold
dizziness and fatigue for past few days,Anemia
Started experiencing joint pain swelling redness warmth,Gout
high temperature with weakness since yesterday,Malaria
indigestion with stomach pain,Peptic Ulcer
Started experiencing chest tightness,Asthma
Feeling severe throbbing headache,Migraine
Recently developed hot and fatigue,Typhoid
spots behind ears for a while now,Measles
Having issues with profound fatigue not explained for several days,Chronic Fatigue Syndrome
Been dealing with symmetrical joint pain both sides,Rheumatoid Arthritis
meningitis symptoms headache stiff neck fever,Meningitis
frequent urination with painful for a while now,Urinary Tract Infection
Experiencing periodic high temperature attacks that won't go away since yesterday,Malaria
Feeling bladder discomfort,Urinary Tract Infection
joint stiffness in morning brief,Osteoarthritis
vomiting with stomach pain that won't go away,Gastroenteritis
Suffering from multiple joints affected symmetrically,Rheumatoid Arthritis
excruciating flank pain that comes in waves,Kidney Stones
Started experiencing cognitive difficulties fibro fog,Fibromyalgia
sweating with fever,Malaria
sneezing runny nose watery eyes,Allergic Reaction
Feeling high fever with cough,Pneumonia
chronic heartburn several times week and it's getting worse,GERD
multiple joints affected symmetrically,Rheumatoid Arthritis
Having issues with irregular heartbeat for over a week,Hypertension
Having sneezing and watery eyes for a while now,Common Cold
I'm experiencing body pain with burning up,Dengue
Recently developed chronic cough with blood,Tuberculosis
red rash spreading since yesterday,Measles
fever with constipation,Typhoid
